Item Name,Category,Taste & Recipe Notes,Quantity,Avalability
Cheese Balls,Snacks & Starters (Veg),Tangy & flavorful,5,Available
Aloo Tikki,Snacks & Starters (Veg),Traditional Indian taste,26,Available
Aloo Tikki,Snacks & Starters (Veg),Mildly spiced,29,Available
Cheese Balls,Snacks & Starters (Veg),Rich & creamy,24,Available
Aloo Tikki,Snacks & Starters (Veg),Rich & creamy,5,Available
Aloo Tikki,Snacks & Starters (Veg),Light & healthy,13,Available
Paneer Tikka,Snacks & Starters (Veg),Rich & creamy,27,Available
Hara Bhara Kebab,Snacks & Starters (Veg),Mildly spiced,22,Available
Aloo Tikki,Snacks & Starters (Veg),Rich & creamy,1,Available
Veg Spring Roll,Snacks & Starters (Veg),Traditional Indian taste,24,Available
Veg Spring Roll,Snacks & Starters (Veg),Light & healthy,11,Available
Paneer Tikka,Snacks & Starters (Veg),Rich & creamy,11,Available
Hara Bhara Kebab,Snacks & Starters (Veg),Light & healthy,15,Available
Veg Spring Roll,Snacks & Starters (Veg),Mildly spiced,8,Available
Hara Bhara Kebab,Snacks & Starters (Veg),Mildly spiced,27,Available
Veg Spring Roll,Snacks & Starters (Veg),Tangy & flavorful,1,Available
Cheese Balls,Snacks & Starters (Veg),Rich & creamy,3,Available
Cheese Balls,Snacks & Starters (Veg),Light & healthy,11,Available
Paneer Tikka,Snacks & Starters (Veg),Light & healthy,25,Available
Cheese Balls,Snacks & Starters (Veg),Rich & creamy,20,Available
Cheese Balls,Snacks & Starters (Veg),Rich & creamy,2,Available
Cheese Balls,Snacks & Starters (Veg),Rich & creamy,16,Available
Cheese Balls,Snacks & Starters (Veg),Light & healthy,30,Available
Aloo Tikki,Snacks & Starters (Veg),Mildly spiced,4,Available
Hara Bhara Kebab,Snacks & Starters (Veg),Mildly spiced,4,Available
Prawn Tempura,Snacks & Starters (Non-Veg),Spicy & smoky,1,Available
Chicken Wings,Snacks & Starters (Non-Veg),Spicy & smoky,2,Available
Chicken Tikka,Snacks & Starters (Non-Veg),Classic Mughlai flavor,19,Available
Fish Fingers,Snacks & Starters (Non-Veg),Spicy & smoky,20,Available
Prawn Tempura,Snacks & Starters (Non-Veg),Tender & juicy,18,Available
Chicken Wings,Snacks & Starters (Non-Veg),Coastal style,27,Available
Chicken Tikka,Snacks & Starters (Non-Veg),Rich gravy,28,Available
Chicken Wings,Snacks & Starters (Non-Veg),Classic Mughlai flavor,1,Available
Fish Fingers,Snacks & Starters (Non-Veg),Rich gravy,8,Available
Chicken Tikka,Snacks & Starters (Non-Veg),Spicy & smoky,1,Available
Prawn Tempura,Snacks & Starters (Non-Veg),Rich gravy,30,Available
Chicken Wings,Snacks & Starters (Non-Veg),Spicy & smoky,17,Available
Mutton Seekh Kebab,Snacks & Starters (Non-Veg),Rich gravy,1,Available
Mutton Seekh Kebab,Snacks & Starters (Non-Veg),Spicy & smoky,17,Available
Chicken Wings,Snacks & Starters (Non-Veg),Classic Mughlai flavor,6,Available
Chicken Tikka,Snacks & Starters (Non-Veg),Coastal style,11,Available
Fish Fingers,Snacks & Starters (Non-Veg),Rich gravy,1,Available
Fish Fingers,Snacks & Starters (Non-Veg),Coastal style,24,Available
Fish Fingers,Snacks & Starters (Non-Veg),Classic Mughlai flavor,2,Available
Mutton Seekh Kebab,Snacks & Starters (Non-Veg),Classic Mughlai flavor,24,Available
